,date,close,diff,open,high,low,volume
679,2018.02.23,98800,4000,107000,108500,98800,5435343
678,2018.02.26,99100,300,99000,101200,98100,1688989
677,2018.02.27,100300,1200,100500,103000,99900,2153382
676,2018.02.28,102400,2100,99400,102900,99400,2398496
673,2018.03.02,105600,3200,101300,107000,100700,3074091
672,2018.03.05,108500,2900,106400,110800,105700,3253202
671,2018.03.06,108900,400,110300,110800,105800,2151649
670,2018.03.07,104300,4600,108000,110200,103000,2119904
669,2018.03.08,107400,3100,105500,108000,104500,1247864
665,2018.03.09,105700,1700,107400,108400,104400,1445862
664,2018.03.12,109800,4100,106300,109800,104800,1714449
663,2018.03.13,117300,7500,110000,118000,109400,5072706
662,2018.03.14,119900,2600,116600,120000,115100,2155459
661,2018.03.15,116900,3000,119700,125600,112200,4172322
658,2018.03.16,119100,2200,117900,119800,116100,2661831
657,2018.03.19,119000,100,118200,121900,116700,2006712
656,2018.03.20,121500,2500,117900,121500,117500,1597397
655,2018.03.21,125700,4200,122100,131200,121300,4004740
654,2018.03.22,113300,12400,128000,128100,110000,4951295
650,2018.03.23,100300,13000,110500,114500,99500,6014015
649,2018.03.26,108800,8500,101800,108800,98600,3181206
648,2018.03.27,104200,4600,110500,112800,103400,2757220
647,2018.03.28,103000,1200,102500,104200,99800,2095212
646,2018.03.29,107100,4100,103200,107500,102500,1446609
643,2018.03.30,107000,100,108200,108900,106600,1034497
642,2018.04.02,104800,2200,107400,107400,104100,959711
641,2018.04.03,105100,300,103200,105800,102300,850873
640,2018.04.04,107100,2000,106100,110700,104800,2290914
639,2018.04.05,106200,900,108900,110000,105600,1189198
635,2018.04.06,103000,3200,105600,107100,101400,1635256
634,2018.04.09,104400,1400,103000,106600,101000,1787585
633,2018.04.10,104100,300,104100,107100,103600,1234625
632,2018.04.11,104000,100,105500,105800,103700,795819
631,2018.04.12,104700,700,105700,110900,104500,2977579
628,2018.04.13,104100,600,105000,105400,100300,1380896
627,2018.04.16,102800,1300,104100,105100,102600,976644
626,2018.04.17,104500,1700,103600,105900,103400,1087658
625,2018.04.18,103800,700,105400,106700,103000,1276698
624,2018.04.19,100800,3000,103000,105600,100500,2014582
620,2018.04.20,97600,3200,101200,102200,95200,2185643
619,2018.04.23,87900,9700,94500,95700,87600,3855868
618,2018.04.24,83300,4600,87400,89700,83200,3150133
617,2018.04.25,82800,500,82800,84600,79600,3496542
616,2018.04.26,86500,3700,84700,88600,83900,2837188
613,2018.04.27,88600,2100,87300,89100,85900,1516785
612,2018.04.30,84100,4500,87000,87700,83300,1613698
611,2018.05.02,85800,1700,82000,88300,80200,2033543
610,2018.05.03,82200,3600,86200,86800,82200,1083164
609,2018.05.04,75300,6900,82000,83500,75100,3066872
605,2018.05.08,65700,9600,75100,78300,65700,4398823
604,2018.05.09,69900,4200,66100,70300,64000,5941010
